Andy,,,,,,,,165.4
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Derrick White,20,9,5,0,2,0,42.3
G,Jrue Holiday,10,3,5,1,0,4,19.1
F/C,Nikola Jokic,17,8,6,1,1,6,33.6
F/C,Jalen Williams,17,4,7,0,2,1,35.3
F/C,Isaiah Hartenstein,14,8,5,1,1,0,35.1
,Totals,78,38.4,42,6,12,-11,165.4
,,,,,,,,
Jon,,,,,,,,123.2
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Jamal Murray,14,4,1,0,1,2,20.3
G,Christian Braun,3,2,0,0,1,2,5.4
F/C,Jayson Tatum,13,14,5,3,1,3,42.3
F/C,Chet Holmgren,15,11,2,2,2,0,39.2
F/C,Michael Porter Jr.,8,5,0,1,0,0,16
,Totals,53,43.2,12,12,10,-7,123.2
,,,,,,,,
Mark,,,,,,,,169.6
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Shai Gilgeous-Alexander,34,4,8,0,0,2,48.8
G,Russell Westbrook,19,1,5,0,0,4,23.7
F/C,Karl-Anthony Towns,21,17,1,0,1,4,40.9
F/C,Josh Hart,23,6,3,0,2,2,36.7
F/C,OG Anunoby,5,5,1,4,1,3,19.5
,Totals,102,39.6,27,8,8,-15,169.6
,,,,,,,,
Josh,,,,,,,,126
Position,Player,Points (1),Rebounds (1.2),Assists (1.5),Steals (2),Blocks (2),Turnovers (-1),Total
G,Jalen Brunson,17,3,7,0,1,2,31.1
G,Mikal Bridges,14,7,5,3,0,2,33.9
F/C,Jaylen Brown,20,6,1,2,0,6,26.7
F/C,Aaron Gordon,10,5,1,0,1,1,18.5
F/C,Al Horford,4,4,0,3,1,1,15.8
,Totals,65,30,21,16,6,-12,126
