PLAYER_ID,PLAYER_NAME,PTS,REB,AST,STL,BLK,TOV
1630639,"A.J. Lawson",4.2,1.8,0.3,0.5,0.2,0.3
1631260,"AJ Green",10.4,2.7,1.9,0.5,0.1,1
1642358,"AJ Johnson",3.3,1.1,1,0.2,0.1,0.6
203932,"Aaron Gordon",16.2,5.8,2.7,0.6,0.3,1.1
1628988,"Aaron Holiday",5.5,1,1.1,0.5,0.1,0.7
1630174,"Aaron Nesmith",13.8,4.2,1.9,0.6,0.5,1.4
1630598,"Aaron Wiggins",9.4,3.1,1.7,0.9,0.4,1.2
1642846,"Ace Bailey",13.8,4.2,1.8,0.8,0.7,1.5
1642380,"Adama Bal",10.4,3.1,2.4,1.1,0.1,0.8
1641737,"Adem Bona",4.8,4.3,0.5,0.4,1.2,0.8
1642876,"Adou Thiero",1.9,1.1,0.4,0.3,0.1,0.4
1642349,"Ajay Mitchell",13.6,3.3,3.6,1.2,0.3,1.4
201143,"Al Horford",8.3,4.9,2.6,0.7,1.1,0.9
1630828,"Alex Antetokounmpo",3.2,1,0.2,0,0.2,0.2
1627936,"Alex Caruso",6.2,2.8,2,1.3,0.3,0.9
1631457,"Alex Morales",2,0.8,1,0,0,1
1642259,"Alex Sarr",16.3,7.4,2.7,0.8,2,1.7
1642918,"Alijah Martin",2.2,0.9,0.5,0.3,0.2,0.3
1631214,"Alondes Williams",11,6.3,3,0.8,0.8,1.3
1630578,"Alperen Sengun",20.4,8.9,6.2,1.2,1.1,3.2
1642873,"Amari Williams",1.4,1.8,0.5,0.1,0.5,0.5
1641708,"Amen Thompson",18.3,7.8,5.3,1.5,0.6,2.4
1629599,"Amir Coffey",3.2,1.2,0.6,0.2,0.1,0.2
1643158,"Andersson Garcia",5.2,8.4,2.8,1.6,0.8,1.4
203083,"Andre Drummond",6.4,8.4,1.3,0.6,0.8,1
1641748,"Andre Jackson Jr.",2.4,1.5,0.9,0.4,0.1,0.6
1629614,"Andrew Nembhard",16.9,2.8,7.7,0.9,0.1,2.4
203952,"Andrew Wiggins",15.4,4.8,2.7,1.1,1,1.5
1629014,"Anfernee Simons",14.3,2.5,2.4,0.5,0.1,1.2
1641710,"Anthony Black",15,3.8,3.7,1.4,0.7,2.1
203076,"Anthony Davis",20.4,11.1,2.8,1.1,1.7,2.1
1630162,"Anthony Edwards",28.8,5,3.7,1.4,0.8,2.9
1630264,"Anthony Gill",5.8,2.9,1.3,0.6,0.4,0.7
1641810,"Antonio Reeves",2.7,0.8,0.3,0.1,0,0.1
1630574,"Ariel Hukporti",2.2,2.9,0.5,0.2,0.5,0.6
1642854,"Asa Newell",5.2,2.2,0.6,0.4,0.3,0.5
1641709,"Ausar Thompson",9.9,5.7,3.1,2,0.9,1.5
1630559,"Austin Reaves",23.3,4.7,5.5,1.1,0.4,3
1630245,"Ayo Dosunmu",14.8,3.4,3.6,0.8,0.3,1.4
1628389,"Bam Adebayo",20.1,10,3.2,1.2,0.7,1.6
1631248,"Baylor Scheierman",5.5,3.5,1.5,0.5,0.1,0.6
1642879,"Ben Saraf",7.5,2.1,3.3,0.9,0.2,2.3
1641767,"Ben Sheppard",7.1,3,1.8,0.6,0.1,0.6
1631097,"Bennedict Mathurin",17.6,5.4,2.4,0.8,0.2,2.2
1643016,"Bez Mbeng",8.1,3.8,4.1,2.3,0.3,1.5
1641731,"Bilal Coulibaly",11.7,4.3,2.6,1.3,1,1.4
202687,"Bismack Biyombo",0.9,1,0.2,0.2,0.1,0.3
1642396,"Blake Hinson",11.9,2.4,1.1,0.4,0.1,0.4
1631104,"Blake Wesley",4.8,1.3,2,0.5,0.2,1
1626171,"Bobby Portis",13.7,6.4,1.6,0.6,0.2,1
1641752,"Bobi Klintman",1.8,1.6,0.5,0.3,0,0.5
203992,"Bogdan Bogdanović",7.4,2.6,2.2,0.4,0.1,1.2
1630538,"Bones Hyland",8.5,1.8,2.6,0.6,0.2,1
203078,"Bradley Beal",8.2,0.8,1.7,0.5,0,1.5
1642382,"Branden Carlson",5.8,3,0.7,0.2,0.6,0.4
1641764,"Brandin Podziemski",13.8,5.1,3.7,1.1,0.2,1.6
1629634,"Brandon Clarke",4,3,0.5,1,0,0
1627742,"Brandon Ingram",21.5,5.6,3.7,0.8,0.7,2.4
1641706,"Brandon Miller",20.2,4.9,3.3,1,0.7,2.5
1630314,"Brandon Williams",13,2.9,3.9,0.9,0.3,1.9
1641729,"Brice Sensabaugh",14.9,3.1,1.9,0.7,0.2,1.7
1642355,"Bronny James",2.9,0.5,1.2,0.5,0.1,0.6
201572,"Brook Lopez",8.5,3.6,1.3,0.6,1.2,0.8
1642964,"Brooks Barnhizer",1.7,2,0.6,0.3,0.1,0.3
1628971,"Bruce Brown",7.9,3.9,2.1,1,0.2,1.1
1631121,"Bryce McGowens",8.1,2.1,1.5,0.6,0.2,0.4
1642267,"Bub Carrington",10.7,3.4,4.6,0.6,0.2,2.3
1631205,"Buddy Boeheim",1.5,0,0,0,0,0
1627741,"Buddy Hield",7.6,2.3,1.4,0.8,0.2,0.9
1643047,"CJ Huntley",3,1.3,0.5,0.3,0,0
203468,"CJ McCollum",18.7,3.3,3.9,0.8,0.5,1.8
